"ID (например kin.01, mkt.03)",Экзамен (ЕГЭ / ОГЭ / ЕГЭ+ОГЭ),Раздел,Тема,Подтема,Название формулы,Подсказка для сборки,Формула (LaTeX),Формула (текст),Переменные (символ — название — единица),Физический смысл (для блока «Как рассуждать»),Зависимости (прямая / обратная),Размерности,Откуда выводится,Когда применять (Layer 1 — ситуации),Частые ошибки / ловушки,Связанные формулы (ID через запятую — для дистракторов),Сложность (1 / 2 / 3),Мутации Layer 3 (тип; неверный LaTeX; подсказка),Рецепт сборки (числитель | знаменатель),Источник (sokrat / egor / elena),Автор,Ревью,Статус (draft / review / ready),Комментарии
kin.11,ЕГЭ,Механика,Кинематика,Движение по окружности,Угловая скорость,Угловая скорость при вращении,\omega = \frac{2\pi}{T} = 2\pi\nu,ω = 2π/T = 2πν,"ω — угловая скорость (рад/с)
T — период (с)
ν — частота (Гц)",За один оборот тело проходит угол 2π радиан. Угловая скорость — сколько радиан в секунду.,"прямая: ν → ω
обратная: T → ω",[1/T] = [1/T],Определение: ω = угол / время = 2π / T,"• Задачи на вращение
• Нужно перейти от линейных величин к угловым","• Забывают 2π (пишут ω = 1/T вместо ω = 2π/T)
• Путают обороты в минуту с частотой в Гц","kin.09, kin.10, kin.12",2,"drop_coefficient; \omega = \frac{1}{T} = \nu; Угловая скорость связана с полным оборотом 2π радиан, поэтому 2π обязательно.
swap_fraction; \omega = \frac{T}{2\pi}; При росте периода угловая скорость уменьшается, значит T должен быть в знаменателе.",numerator: 2\pi | denominator: T,sokrat,,,ready,
kin.12,ЕГЭ,Механика,Кинематика,Движение по окружности,Центростремительное ускорение,Центростремительное ускорение при вращении,a_{цс} = \frac{v^2}{R} = \omega^2 R,a_цс = v²/R = ω²R,"a_цс — центростремительное ускорение (м/с²)
v — линейная скорость (м/с)
R — радиус (м)
ω — угловая скорость (рад/с)","Ускорение, направленное к центру окружности. Нужно, чтобы тело 'заворачивало' по кривой, а не летело прямо.","прямая: v² → a_цс
обратная: R → a_цс (при фикс. v)",[L/T²] = [L²/T²] / [L],Геометрический вывод из изменения вектора скорости,"• Тело движется по окружности
• Нужно найти ускорение при круговом движении
• Связь с силой: $F = m a_{\text{цс}} = \frac{m v^2}{R}$","• Путают v²/R и vR
• Путают формы: v²/R и ω²R дают разные зависимости от R!
• Забывают, что ускорение направлено к ЦЕНТРУ, а не по касательной","kin.09, kin.11, dyn.04",2,"wrong_power; a_{\text{цс}} = \frac{v}{R} = \omega R; Центростремительное ускорение зависит от квадрата скорости и квадрата угловой скорости.
swap_variable; a_{\text{цс}} = \frac{v^2}{T}; В формуле кругового движения нужен радиус R, а не период T.",numerator: v^2 | denominator: R,sokrat,,,ready,
dyn.01,ЕГЭ+ОГЭ,Механика,Динамика,Второй закон Ньютона,Второй закон Ньютона,Второй закон Ньютона,F = m \cdot a,F = m * a,"F — сила (Н)
m — масса (кг)
a — ускорение (м/с²)",Сила пропорциональна массе и ускорению. Чем больше сила или чем меньше масса — тем больше ускорение.,"прямая: F → a, m → F (при фиксированном a)
обратная: m → a (при фиксированной F)",[M·L/T²] = [M] * [L/T²],Фундаментальный закон механики,"• Нужно найти силу, массу или ускорение
• Есть информация о двух из трёх величин
• Используется в большинстве задач на силы","• Путают F = ma и F = m + a
• Забывают переводить силу в ньютоны
• Суммируют силы неверно (не учитывают направление)","dyn.02, dyn.03, kin.03",1,"swap_fraction; a = \frac{m}{F}; Ускорение обратно пропорционально массе: большая масса — меньше ускорение.
swap_variable; F = a / m; Сила пропорциональна массе и ускорению, нужно умножение, а не деление.","numerator: F | denominator: m, a",sokrat,,,ready,
dyn.02,ЕГЭ+ОГЭ,Механика,Динамика,Сила трения,Сила трения,Сила трения при скольжении,f = \mu \cdot N,f = μ * N,"f — сила трения (Н)
μ — коэффициент трения ((безразмерный))
N — нормальная сила (реакция опоры) (Н)",Сила трения пропорциональна силе прижатия (нормальной силе). Коэффициент μ зависит от материалов.,"прямая: μ → f, N → f",[M·L/T²] = [M·L/T²],Эмпирический закон сухого трения,"• Тело скользит по поверхности
• Нужно найти силу трения при известной нормальной силе
• На горизонтальной поверхности: $N = mg$","• Путают нормальную силу N с силой тяжести (не всегда N = mg)
• На наклонной плоскости забывают, что N = mg·cos(α)
• Пытаются найти f без знания N","dyn.01, dyn.04",2,"swap_variable; f = \mu + N; Сила трения зависит от произведения коэффициента и нормальной силы.
drop_coefficient; f = N; Коэффициент трения μ определяет, какую часть нормальной силы составляет трение.","numerator: \mu, N | denominator: ",sokrat,,,ready,
dyn.03,ЕГЭ,Механика,Динамика,Вес и нормальная сила,Сила тяжести (вес),Сила тяжести (вес тела),F_g = m \cdot g,F_g = m * g,"F_g — сила тяжести (вес) (Н)
m — масса (кг)
g — ускорение свободного падения (м/с²)",Вес тела равен произведению массы на ускорение свободного падения. На Земле g ≈ 10 м/с².,прямая: m → F_g,[M·L/T²] = [M] * [L/T²],Следствие из второго закона Ньютона,"• Известна масса, нужно найти вес
• На Земле используй g ≈ 10 м/с² (или 9.8)
• Вес = сила, с которой тело давит на опору","• Путают вес и массу (масса в кг, вес в ньютонах)
• Используют разные значения g без указания
• Забывают, что вес может быть ноль при свободном падении","dyn.01, dyn.02",1,"swap_variable; F_g = m + g; Вес — произведение массы на ускорение свободного падения.
wrong_power; F_g = m \cdot g^2; g не возводится в степень в формуле веса.","numerator: m, g | denominator: ",sokrat,,,ready,
dyn.04,ЕГЭ,Механика,Динамика,Движение по окружности,Центростремительная сила,Центростремительная сила при вращении,F_c = m \cdot a_c = \frac{m v^2}{R} = m \omega^2 R,F_c = m * a_c = m * v²/R = m * ω²R,"F_c — центростремительная сила (Н)
m — масса (кг)
v — линейная скорость (м/с)
R — радиус (м)
ω — угловая скорость (рад/с)","Сила, направленная к центру окружности, необходимая для кругового движения. Пропорциональна m и v².","прямая: m → F_c, v² → F_c, ω² → F_c
обратная: R → F_c",[M·L/T²] = [M] * [L/T²],F = m·a_центростремительное,"• Тело движется по окружности
• Нужна сила для поворота: нить, трение, нормальная сила
• Спутники, петли мёртвого цикла, закруглённые дороги","• Путают центростремительную силу и центробежную (последняя — в неинерциальной системе)
• Забывают квадрат скорости в формуле v²/R
• Путают формы: mv²/R vs mω²R","dyn.01, kin.09, kin.12",2,"wrong_power; F_c = \frac{m v}{R}; Центростремительная сила зависит от квадрата скорости.
swap_variable; F_c = \frac{v^2}{m R}; Масса умножается на ускорение, она в числителе.","numerator: m, v^2 | denominator: R",sokrat,,,ready,
dyn.05,ЕГЭ,Механика,Динамика,Третий закон Ньютона,Третий закон Ньютона,Третий закон Ньютона,F_{AB} = -F_{BA},F_AB = -F_BA,"F_AB — сила A на B (Н)
F_BA — сила B на A (Н)",Силы действия и противодействия равны по величине и противоположны по направлению. Действуют на разные тела.,,[M·L/T²] = [M·L/T²],Фундаментальный принцип механики,"• При анализе систем из двух взаимодействующих тел
• Важен выбор системы отсчёта
• Силы действуют на РАЗНЫЕ тела (не взаимоуничтожаются)","• Путают третий закон с равновесием (действие и противодействие действуют на разные тела)
• Ошибки при выборе системы: пытаются вычитать третий закон из уравнений движения",dyn.01,1,swap_fraction; F_{AB} = F_{BA}; Силы действия и противодействия противоположны по направлению.,numerator: F_{AB} | denominator: ,sokrat,,,ready,
dyn.06,ЕГЭ,Механика,Динамика,Упругие силы,Закон Гука,Закон Гука для пружины,F = k \cdot \Delta x,F = k * Δx,"F — сила упругости (Н)
k — жёсткость пружины (Н/м)
\Delta x — удлинение/сжатие (м)",Сила упругости пружины пропорциональна деформации (удлинению или сжатию) с коэффициентом жёсткости k.,"прямая: k → F, Δx → F",[M·L/T²] = [M/T²] * [L],Эмпирический закон упругости линейных материалов,"• Пружина растягивается или сжимается
• Деформация небольшая (линейная область)
• Системы с пружинами, маятники","• Забывают минус (F = -kx, но часто работают с модулем)
• Путают жёсткость k разных пружин
• Пытаются применить вне линейной области",dyn.01,2,"swap_variable; F = \Delta x / k; Сила упругости пропорциональна деформации, k в числителе.
drop_coefficient; F = \Delta x; Жёсткость k показывает, насколько сильно пружина сопротивляется деформации.","numerator: k, \Delta x | denominator: ",sokrat,,,ready,
cons.01,ЕГЭ+ОГЭ,Механика,Законы сохранения,Импульс,Импульс тела,Импульс тела,p = m \cdot v,p = m * v,"p — импульс (кг·м/с)
m — масса (кг)
v — скорость (м/с)",Импульс — мера количества движения. Произведение массы на скорость. Векторная величина.,"прямая: m → p, v → p",[M·L/T],Определение,"• При анализе столкновений и взрывов
• При применении закона сохранения импульса
• В задачах с передачей количества движения","• Забывают, что импульс — векторная величина
• Путают импульс с энергией
• Суммируют скорости вместо импульсов","cons.02, dyn.01",1,"swap_variable; p = v / m; Импульс — произведение, а не отношение.","numerator: m, v | denominator: ",sokrat,,,ready,
cons.02,ЕГЭ+ОГЭ,Механика,Законы сохранения,Сохранение импульса,Закон сохранения импульса,Закон сохранения импульса,m_1 v_1 + m_2 v_2 = m_1 v_1' + m_2 v_2',m₁v₁ + m₂v₂ = m₁v₁' + m₂v₂',"m_1, m_2 — массы тел (кг)
v, v' — скорости до и после (м/с)",При отсутствии внешних сил суммарный импульс системы сохраняется. Применяется для столкновений и взрывов.,,[M·L/T],Следствие из третьего закона Ньютона и второго закона,"• Столкновения: упругие и неупругие
• Взрывы и отскоки
• Системы без внешних сил","• Забывают, что это векторное уравнение (выбирают направление оси)
• Не учитывают, что сохраняется импульс системы, а не энергия
• Ошибки в знаках при движении в противоположных направлениях","cons.01, cons.03",2,"swap_fraction; m_1 v_1 - m_2 v_2 = m_1 v_1' - m_2 v_2'; В законе сохранения импульса складываются импульсы, а не вычитаются.","numerator: m_1, v_1, m_2, v_2 | denominator: ",sokrat,,,ready,
cons.03,ЕГЭ+ОГЭ,Механика,Законы сохранения,Кинетическая энергия,Кинетическая энергия,Кинетическая энергия,E_k = \frac{m v^2}{2},E_k = m * v²/2,"E_k — кинетическая энергия (Дж)
m — масса (кг)
v — скорость (м/с)",Энергия движения тела. Зависит от массы и квадрата скорости. Всегда положительна.,"прямая: m → E_k, v² → E_k",[M·L²/T²] (Джоули),Работа при разгоне тела из покоя: W = F·s = ma·(v²/2a) = mv²/2,"• При применении теоремы о кинетической энергии
• Расчёт работы силы
• В задачах со столкновениями (упругость)","• Забывают делить на 2
• Путают кинетическую и потенциальную энергию
• Забывают квадрат скорости","cons.04, cons.03",1,"drop_coefficient; E_k = m v^2; Кинетическая энергия содержит делитель 2 в формуле.
wrong_power; E_k = \frac{m v}{2}; Энергия зависит от квадрата скорости, а не от первой степени.","numerator: m, v^2 | denominator: 2",sokrat,,,ready,
cons.04,ЕГЭ+ОГЭ,Механика,Законы сохранения,Потенциальная энергия,Потенциальная энергия в гравитационном поле,Потенциальная энергия в гравитационном поле,E_p = m \cdot g \cdot h,E_p = m * g * h,"E_p — потенциальная энергия (Дж)
m — масса (кг)
g — ускорение свободного падения (м/с²)
h — высота над уровнем отсчёта (м)","Энергия, обусловленная положением тела в гравитационном поле. Зависит от высоты над выбранным уровнем.","прямая: m → E_p, h → E_p",[M·L²/T²] (Джоули),Работа силы тяжести: W = mgh,"• Высота тела выше нулевого уровня потенциальной энергии
• При применении закона сохранения механической энергии
• В системах с гравитационным полем","• Забывают выбрать уровень отсчёта
• Путают потенциальную энергию с кинетической
• Путают работу против силы тяжести с работой силы тяжести","cons.03, cons.05",1,"swap_variable; E_p = m \cdot g / h; Потенциальная энергия растёт с высотой, h в числителе.
wrong_power; E_p = m \cdot g \cdot h^2; Потенциальная энергия линейна по высоте, без квадрата.","numerator: m, g, h | denominator: ",sokrat,,,ready,
cons.05,ЕГЭ,Механика,Законы сохранения,Механическая энергия,Закон сохранения механической энергии,Закон сохранения механической энергии,E_k + E_p = \text{const},E_k + E_p = const,"E_k — кинетическая энергия (Дж)
E_p — потенциальная энергия (Дж)",При отсутствии трения и воздействия внешних сил сумма кинетической и потенциальной энергии остаётся постоянной.,,[M·L²/T²],Следствие из второго закона Ньютона,"• Нет диссипативных сил (трение, сопротивление воздуха)
• Падение, бросание, маятники в идеальном случае
• Переходы между кинетической и потенциальной энергией","• Применяют в присутствии трения (нужно учитывать работу трения)
• Путают с законом сохранения импульса
• Ошибки в выборе нулевого уровня потенциальной энергии","cons.03, cons.04",2,swap_variable; E_k - E_p = \text{const}; При сохранении механической энергии кинетическая и потенциальная складываются.,"numerator: E_k, E_p | denominator: ",sokrat,,,ready,
cons.06,ЕГЭ,Механика,Законы сохранения,Работа и энергия,Работа силы,Работа постоянной силы,A = F \cdot s \cdot \cos(\alpha),A = F * s * cos(α),"A — работа (Дж)
F — сила (Н)
s — перемещение (м)
\alpha — угол между F и s (°)","Работа — произведение силы, перемещения и косинуса угла между ними. Скалярная величина (может быть отрицательной).","прямая: F → A, s → A",[M·L²/T²] (Джоули),Определение работы как скалярного произведения,"• Расчёт работы при известных F, s и угле
• Применение теоремы о работе и кинетической энергии
• Вычисление полезной работы и работы против сил","• Забывают косинус угла
• Путают работу с энергией
• Путают угол: если сила перпендикулярна перемещению, A = 0","cons.03, cons.04",2,"drop_coefficient; A = F \cdot s; Угол между силой и перемещением влияет на работу через косинус.
wrong_power; A = F^2 \cdot s; Работа линейна по силе, не зависит от её квадрата.","numerator: F, s, \cos(\alpha) | denominator: ",sokrat,,,ready,
cons.07,ЕГЭ,Механика,Законы сохранения,Мощность,Мощность,Мощность,P = \frac{A}{t} = F \cdot v,P = A/t = F * v,"P — мощность (Вт)
A — работа (Дж)
t — время (с)
F — сила (Н)
v — скорость (м/с)","Мощность — скорость выполнения работы. Среднее количество энергии, передаваемое в единицу времени.","прямая: A → P, v → P
обратная: t → P",[M·L²/T³] (Ватты),P = dA/dt,"• При расчётах КПД двигателей
• Когда работа выполняется не мгновенно
• Мощность электрических и механических систем","• Путают мощность с энергией
• Забывают, что это скорость выполнения работы, а не сама работа
• Ошибки в единицах: кВт, МВт вместо Вт",cons.06,2,"swap_fraction; P = \frac{t}{A}; Мощность — работа, делённая на время, а не наоборот.
swap_variable; P = F / v; Мощность может быть выражена как произведение силы и скорости.",numerator: A | denominator: t,sokrat,,,ready,
stat.01,ЕГЭ+ОГЭ,Механика,Статика,Равновесие,Условие равновесия (сумма сил),Условие равновесия сил,\sum F = 0,ΣF = 0,\sum F — сумма всех сил (Н),Для равновесия тела векторная сумма всех действующих сил должна быть равна нулю. Тело не ускоряется.,,[M·L/T²],Следствие из второго закона Ньютона при a = 0,"• Анализ статических конструкций
• Рычаги и системы в равновесии
• Когда скорость постоянна или тело покоится","• Забывают, что это векторное условие (работает по каждой оси отдельно)
• Путают сумму сил с равновесием моментов (вращение)
• Не учитывают все силы (часто забывают нормальную силу или натяжение)",dyn.01,1,swap_fraction; \sum F = \text{max}; При равновесии сумма всех сил должна быть нулевой.,"numerator: F_1, F_2 | denominator: ",sokrat,,,ready,
hydro.01,ЕГЭ+ОГЭ,Механика,Гидростатика,Давление жидкости,Давление жидкости,Давление,P = \frac{F}{S},P = F / S,"P — давление (Па)
F — сила перпендикулярная поверхности (Н)
S — площадь поверхности (м²)","Давление — сила, действующая на единицу площади поверхности. Может действовать во всех направлениях.","прямая: F → P
обратная: S → P",[M/(L·T²)] (Паскали),Определение давления,"• Расчёты с жидкостями и газами
• Гидростатические системы
• Закон Паскаля и архимедова сила","• Путают давление и силу
• Забывают переводить единицы (1 атм ≈ 100000 Па)
• Забывают, что давление действует перпендикулярно поверхности","hydro.02, hydro.03",1,"swap_fraction; P = \frac{S}{F}; Давление — сила, делённая на площадь.
wrong_power; P = F \cdot S; Давление — это отношение силы к площади, а не произведение.",numerator: F | denominator: S,sokrat,,,ready,
hydro.02,ЕГЭ+ОГЭ,Механика,Гидростатика,Гидростатическое давление,Гидростатическое давление,Гидростатическое давление на глубине,P = P_0 + \rho \cdot g \cdot h,P = P₀ + ρ * g * h,"P — давление на глубине h (Па)
P_0 — атмосферное давление (Па)
\rho — плотность жидкости (кг/м³)
g — ускорение свободного падения (м/с²)
h — глубина (м)",Давление жидкости на глубине складывается из атмосферного давления и давления столба жидкости ρgh.,"прямая: ρ → P, h → P",[M/(L·T²)],Вес столба жидкости / площадь основания,"• Расчёты для погружённых объектов
• Давление на дне сосуда с жидкостью
• Гидростатические парадоксы и системы","• Забывают атмосферное давление P₀
• Путают плотность жидкостей (вода = 1000 кг/м³)
• Забывают, что давление растёт с глубиной линейно","hydro.01, hydro.03, hydro.04",2,"drop_coefficient; P = P_0 + \rho \cdot g \cdot h / 2; Гидростатическое давление растёт линейно с глубиной, без делителя.
swap_variable; P = \rho \cdot g \cdot h; Полное давление включает атмосферное давление P₀.","numerator: P_0, \rho, g, h | denominator: ",sokrat,,,ready,
hydro.03,ЕГЭ+ОГЭ,Механика,Гидростатика,Архимедова сила,Архимедова сила (выталкивающая сила),Сила Архимеда на погружённое тело,F_A = \rho \cdot g \cdot V,F_A = ρ * g * V,"F_A — архимедова сила (Н)
\rho — плотность жидкости (кг/м³)
g — ускорение свободного падения (м/с²)
V — объём тела (или объём вытесненной жидкости) (м³)","Выталкивающая сила равна весу вытесненной жидкости. Направлена вверх, равна ρgV.","прямая: ρ → F_A, V → F_A",[M·L/T²] (Ньютоны),Разница давлений на верхней и нижней поверхности погружённого тела,"• Плавание тел
• Условие плавания: $F_A = mg$ (плотность тела = плотность жидкости)
• Воздушные шары и дирижабли","• Путают с давлением (это сила, а не давление)
• Забывают, что F_A зависит от ЖИДКОСТИ, а не от тела
• На V влияет только погружённая часть, а не всё тело",hydro.02,2,"swap_variable; F_A = m \cdot g \cdot V; Архимедова сила зависит от плотности жидкости, а не от плотности тела.
drop_coefficient; F_A = \rho \cdot V; Архимедова сила равна весу вытесненной жидкости: ρgV.","numerator: \rho, g, V | denominator: ",sokrat,,,ready,
